,Institucion,Enfermedad,Year
3375,Universidad de Sevilla,wine ,2018
3376,Unive,Mediterranean diet,2018
3377,Unive,microglia,2018
3378,Unive,neuroinflammation,2018
3379,Unive,olive oil,2018
3380,Unive,phenolic compounds,2018
3381,Unive,wine ,2018
3382,Unive,Mediterranean diet,2018
3383,Unive,microglia,2018
3384,Unive,neuroinflammation,2018
3385,Unive,olive oil,2018
3386,Unive,phenolic compounds,2018
3387,Unive,wine ,2018
3388,Universidad de Sevilla,Mediterranean diet,2018
3389,Universidad de Sevilla,microglia,2018
3390,Universidad de Sevilla,neuroinflammation,2018
3391,Universidad de Sevilla,olive oil,2018
3392,Universidad de Sevilla,phenolic compounds,2018
3393,Universidad de Sevilla,wine ,2018
3394,Universidad de Sevilla,Mediterranean diet,2018
3395,Universidad de Sevilla,microglia,2018
3396,Universidad de Sevilla,neuroinflammation,2018
3397,Universidad de Sevilla,olive oil,2018
3398,Universidad de Sevilla,phenolic compounds,2018
3399,Universidad de Sevilla,wine ,2018
3400,University of Life Sciences in Lublin,Articular cartilage,2021
3401,University of Life Sciences in Lublin,cartilage pathologies,2021
3402,University of Life Sciences in Lublin,chondromatosis,2021
3403,University of Life Sciences in Lublin,hypervitaminosis A,2021
3404,University of Life Sciences in Lublin,osteoarthrosis,2021
3405,University of Life Sciences in Lublin,polyarthritis rheumatoidea,2021
3406,University of Life Sciences in Lublin,review ,2021
3407,University of Life Sciences in Lublin,Articular cartilage,2021
3408,University of Life Sciences in Lublin,cartilage pathologies,2021
3409,University of Life Sciences in Lublin,chondromatosis,2021
3410,University of Life Sciences in Lublin,hypervitaminosis A,2021
3411,University of Life Sciences in Lublin,osteoarthrosis,2021
3412,University of Life Sciences in Lublin,polyarthritis rheumatoidea,2021
3413,University of Life Sciences in Lublin,review ,2021
3414,University of Life Sciences in Lublin,Articular cartilage,2021
3415,University of Life Sciences in Lublin,cartilage pathologies,2021
3416,University of Life Sciences in Lublin,chondromatosis,2021
3417,University of Life Sciences in Lublin,hypervitaminosis A,2021
3418,University of Life Sciences in Lublin,osteoarthrosis,2021
3419,University of Life Sciences in Lublin,polyarthritis rheumatoidea,2021
3420,University of Life Sciences in Lublin,review ,2021
3421,AGH University of Science and Technology,Articular cartilage,2021
3422,AGH University of Science and Technology,cartilage pathologies,2021
3423,AGH University of Science and Technology,chondromatosis,2021
3424,AGH University of Science and Technology,hypervitaminosis A,2021
3425,AGH University of Science and Technology,osteoarthrosis,2021
3426,AGH University of Science and Technology,polyarthritis rheumatoidea,2021
3427,AGH University of Science and Technology,review ,2021
3428,University of Life Sciences in Lublin,Articular cartilage,2021
3429,University of Life Sciences in Lublin,cartilage pathologies,2021
3430,University of Life Sciences in Lublin,chondromatosis,2021
3431,University of Life Sciences in Lublin,hypervitaminosis A,2021
3432,University of Life Sciences in Lublin,osteoarthrosis,2021
3433,University of Life Sciences in Lublin,polyarthritis rheumatoidea,2021
3434,University of Life Sciences in Lublin,review ,2021
3435,University of Life Sciences in Lublin,Articular cartilage,2021
3436,University of Life Sciences in Lublin,cartilage pathologies,2021
3437,University of Life Sciences in Lublin,chondromatosis,2021
3438,University of Life Sciences in Lublin,hypervitaminosis A,2021
3439,University of Life Sciences in Lublin,osteoarthrosis,2021
3440,University of Life Sciences in Lublin,polyarthritis rheumatoidea,2021
3441,University of Life Sciences in Lublin,review ,2021
3442,Molecular Sense Ltd,NP complete problems,2018
3443,Molecular Sense Ltd,bio computation,2018
3444,Molecular Sense Ltd,combinatorial problems,2018
3445,Molecular Sense Ltd,hardware embedded solutions,2018
3446,Molecular Sense Ltd,network based computation,2018
3447,Molecular Sense Ltd,subset sum problem ,2018
3448,McGill University,NP complete problems,2018
3449,McGill University,bio computation,2018
3450,McGill University,combinatorial problems,2018
3451,McGill University,hardware embedded solutions,2018
3452,McGill University,network based computation,2018
3453,McGill University,subset sum problem ,2018
3454,Molecular Sense Ltd,NP complete problems,2018
3455,Molecular Sense Ltd,bio computation,2018
3456,Molecular Sense Ltd,combinatorial problems,2018
3457,Molecular Sense Ltd,hardware embedded solutions,2018
3458,Molecular Sense Ltd,network based computation,2018
3459,Molecular Sense Ltd,subset sum problem ,2018
3460,McGill University,NP complete problems,2018
3461,McGill University,bio computation,2018
3462,McGill University,combinatorial problems,2018
3463,McGill University,hardware embedded solutions,2018
3464,McGill University,network based computation,2018
3465,McGill University,subset sum problem ,2018
3466,McGill University,NP complete problems,2018
3467,McGill University,bio computation,2018
3468,McGill University,combinatorial problems,2018
3469,McGill University,hardware embedded solutions,2018
3470,McGill University,network based computation,2018
3471,McGill University,subset sum problem ,2018
3472,McGill University,NP complete problems,2018
3473,McGill University,bio computation,2018
3474,McGill University,combinatorial problems,2018
3475,McGill University,hardware embedded solutions,2018
3476,McGill University,network based computation,2018
3477,McGill University,subset sum problem ,2018
3478,McGill University,NP complete problems,2018
3479,McGill University,bio computation,2018
3480,McGill University,combinatorial problems,2018
3481,McGill University,hardware embedded solutions,2018
3482,McGill University,network based computation,2018
3483,McGill University,subset sum problem ,2018
3484,McGill University,NP complete problems,2018
3485,McGill University,bio computation,2018
3486,McGill University,combinatorial problems,2018
3487,McGill University,hardware embedded solutions,2018
3488,McGill University,network based computation,2018
3489,McGill University,subset sum problem ,2018
3490,Showa Pharmaceutical University,Caco 2 permeability,2019
3491,Showa Pharmaceutical University,Hepatotoxicity,2019
3492,Showa Pharmaceutical University,Lowest observed effect level,2019
3493,Showa Pharmaceutical University,No observed effect level,2019
3494,Showa Pharmaceutical University,PBPK modeling ,2019
3495,Showa Pharmaceutical University,Caco 2 permeability,2019
3496,Showa Pharmaceutical University,Hepatotoxicity,2019
3497,Showa Pharmaceutical University,Lowest observed effect level,2019
3498,Showa Pharmaceutical University,No observed effect level,2019
3499,Showa Pharmaceutical University,PBPK modeling ,2019
3500,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3501,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium phosphate complex,2021
3502,University of Medicine Aldo Moro,fluoride,2021
3503,University of Medicine Aldo Moro,white spot lesions ,2021
3504,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3505,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium phosphate complex,2021
3506,University of Medicine Aldo Moro,fluoride,2021
3507,University of Medicine Aldo Moro,white spot lesions ,2021
3508,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3509,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium phosphate complex,2021
3510,University of Medicine Aldo Moro,fluoride,2021
3511,University of Medicine Aldo Moro,white spot lesions ,2021
3512,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3513,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium phosphate complex,2021
3514,University of Medicine Aldo Moro,fluoride,2021
3515,University of Medicine Aldo Moro,white spot lesions ,2021
3516,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3517,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium phosphate complex,2021
3518,University of Medicine Aldo Moro,fluoride,2021
3519,University of Medicine Aldo Moro,white spot lesions ,2021
3520,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3521,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium phosphate complex,2021
3522,University of Medicine Aldo Moro,fluoride,2021
3523,University of Medicine Aldo Moro,white spot lesions ,2021
3524,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3525,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium phosphate complex,2021
3526,University of Medicine Aldo Moro,fluoride,2021
3527,University of Medicine Aldo Moro,white spot lesions ,2021
3528,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3529,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium phosphate complex,2021
3530,University of Medicine Aldo Moro,fluoride,2021
3531,University of Medicine Aldo Moro,white spot lesions ,2021
3532,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3533,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium phosphate complex,2021
3534,University of Medicine Aldo Moro,fluoride,2021
3535,University of Medicine Aldo Moro,white spot lesions ,2021
3536,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3537,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium phosphate complex,2021
3538,University of Medicine Aldo Moro,fluoride,2021
3539,University of Medicine Aldo Moro,white spot lesions ,2021
3540,Iuliu Hațieganu University of Medicine and Pharmacy,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3541,Iuliu Hațieganu University of Medicine and Pharmacy,casein phosphopeptide amorphous calcium phosphate complex,2021
3542,Iuliu Hațieganu University of Medicine and Pharmacy,fluoride,2021
3543,Iuliu Hațieganu University of Medicine and Pharmacy,white spot lesions ,2021
3544,University of Chieti,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3545,University of Chieti,casein phosphopeptide amorphous calcium phosphate complex,2021
3546,University of Chieti,fluoride,2021
3547,University of Chieti,white spot lesions ,2021
3548,Saint Camillus International University of Health and Medical Science,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3549,Saint Camillus International University of Health and Medical Science,casein phosphopeptide amorphous calcium phosphate complex,2021
3550,Saint Camillus International University of Health and Medical Science,fluoride,2021
3551,Saint Camillus International University of Health and Medical Science,white spot lesions ,2021
3552,University of Chieti,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3553,University of Chieti,casein phosphopeptide amorphous calcium phosphate complex,2021
3554,University of Chieti,fluoride,2021
3555,University of Chieti,white spot lesions ,2021
3556,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3557,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium phosphate complex,2021
3558,University of Medicine Aldo Moro,fluoride,2021
3559,University of Medicine Aldo Moro,white spot lesions ,2021
3560,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3561,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium phosphate complex,2021
3562,University of Medicine Aldo Moro,fluoride,2021
3563,University of Medicine Aldo Moro,white spot lesions ,2021
3564,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium fluoride phosphate,2021
3565,University of Medicine Aldo Moro,casein phosphopeptide amorphous calcium phosphate complex,2021
3566,University of Medicine Aldo Moro,fluoride,2021
3567,University of Medicine Aldo Moro,white spot lesions ,2021
3568,University of Kansas,Alzheimer s disease,2021
3569,University of Kansas,apolipoprotein E,2021
3570,University of Kansas,bioenergetics,2021
3571,University of Kansas,biosynthesis,2021
3572,University of Kansas,brain resilience,2021
3573,University of Kansas,diabetes,2021
3574,University of Kansas,glycolysis ,2021
3575,University of Kansas,Alzheimer s disease,2021
3576,University of Kansas,apolipoprotein E,2021
3577,University of Kansas,bioenergetics,2021
3578,University of Kansas,biosynthesis,2021
3579,University of Kansas,brain resilience,2021
3580,University of Kansas,diabetes,2021
3581,University of Kansas,glycolysis ,2021
3582,University of Kansas,Alzheimer s disease,2021
3583,University of Kansas,apolipoprotein E,2021
3584,University of Kansas,bioenergetics,2021
3585,University of Kansas,biosynthesis,2021
3586,University of Kansas,brain resilience,2021
3587,University of Kansas,diabetes,2021
3588,University of Kansas,glycolysis ,2021
3589,Université de Paris Ouest,endometrioma,2019
3590,Université de Paris Ouest,endometriosis,2019
3591,Université de Paris Ouest,fertility,2019
3592,Université de Paris Ouest,infertility ,2019
3593,Université de Paris Ouest,endometrioma,2019
3594,Université de Paris Ouest,endometriosis,2019
3595,Université de Paris Ouest,fertility,2019
3596,Université de Paris Ouest,infertility ,2019
3597,Université de Paris Ouest,endometrioma,2019
3598,Université de Paris Ouest,endometriosis,2019
3599,Université de Paris Ouest,fertility,2019
3600,Université de Paris Ouest,infertility ,2019
3601,Université de Paris Ouest,endometrioma,2019
3602,Université de Paris Ouest,endometriosis,2019
3603,Université de Paris Ouest,fertility,2019
3604,Université de Paris Ouest,infertility ,2019
3605,University of Bari,endometrioma,2019
3606,University of Bari,endometriosis,2019
3607,University of Bari,fertility,2019
3608,University of Bari,infertility ,2019
3609,NYU Langone Health,endometrioma,2019
3610,NYU Langone Health,endometriosis,2019
3611,NYU Langone Health,fertility,2019
3612,NYU Langone Health,infertility ,2019
3613,Université de Paris Ouest,endometrioma,2019
3614,Université de Paris Ouest,endometriosis,2019
3615,Université de Paris Ouest,fertility,2019
3616,Université de Paris Ouest,infertility ,2019
3617,NNEdPro Global Centre for Nutrition and Health,malnutrition,2020
3618,NNEdPro Global Centre for Nutrition and Health,metabolic syndrome,2020
3619,NNEdPro Global Centre for Nutrition and Health,nutrient deficiencies ,2020
3620,NNEdPro Global Centre for Nutrition and Health,malnutrition,2020
3621,NNEdPro Global Centre for Nutrition and Health,metabolic syndrome,2020
3622,NNEdPro Global Centre for Nutrition and Health,nutrient deficiencies ,2020
3623,NNEdPro Global Centre for Nutrition and Health,malnutrition,2020
3624,NNEdPro Global Centre for Nutrition and Health,metabolic syndrome,2020
3625,NNEdPro Global Centre for Nutrition and Health,nutrient deficiencies ,2020
3626,Sookmyung Women's University,Enteral nutrition,2016
3627,Sookmyung Women's University,Formula,2016
3628,Sookmyung Women's University,Neoplasm,2016
3629,Sookmyung Women's University,Nutritional status ,2016
3630,Sookmyung Women's University,Enteral nutrition,2016
3631,Sookmyung Women's University,Formula,2016
3632,Sookmyung Women's University,Neoplasm,2016
3633,Sookmyung Women's University,Nutritional status ,2016
3634,University of Calgary,correctional nursing,2019
3635,University of Calgary,forensic nursing,2019
3636,University of Calgary,management,2019
3637,University of Calgary,transformational leadership ,2019
3638,University of Calgary,correctional nursing,2019
3639,University of Calgary,forensic nursing,2019
3640,University of Calgary,management,2019
3641,University of Calgary,transformational leadership ,2019
3642,University of Catania,clinical trial,2020
3643,University of Catania,disease modifying therapy,2020
3644,University of Catania,drug repurposing,2020
3645,University of Catania,immune response,2020
3646,University of Catania,neuroinflammation ,2020
3647,University of Catania,clinical trial,2020
3648,University of Catania,disease modifying therapy,2020
3649,University of Catania,drug repurposing,2020
3650,University of Catania,immune response,2020
3651,University of Catania,neuroinflammation ,2020
3652,University of Catania,clinical trial,2020
3653,University of Catania,disease modifying therapy,2020
3654,University of Catania,drug repurposing,2020
3655,University of Catania,immune response,2020
3656,University of Catania,neuroinflammation ,2020
3657,University of Catania,clinical trial,2020
3658,University of Catania,disease modifying therapy,2020
3659,University of Catania,drug repurposing,2020
3660,University of Catania,immune response,2020
3661,University of Catania,neuroinflammation ,2020
3662,University of Catania,clinical trial,2020
3663,University of Catania,disease modifying therapy,2020
3664,University of Catania,drug repurposing,2020
3665,University of Catania,immune response,2020
3666,University of Catania,neuroinflammation ,2020
3667,University of Catania,clinical trial,2020
3668,University of Catania,disease modifying therapy,2020
3669,University of Catania,drug repurposing,2020
3670,University of Catania,immune response,2020
3671,University of Catania,neuroinflammation ,2020
3672,University of Catania,clinical trial,2020
3673,University of Catania,disease modifying therapy,2020
3674,University of Catania,drug repurposing,2020
3675,University of Catania,immune response,2020
3676,University of Catania,neuroinflammation ,2020
3677,Vrije Universiteit Brussel,Orthognathic surgery,2017
3678,Vrije Universiteit Brussel,perioperative care,2017
3679,Vrije Universiteit Brussel,postoperative complications ,2017
3680,Vrije Universiteit Brussel,Orthognathic surgery,2017
3681,Vrije Universiteit Brussel,perioperative care,2017
3682,Vrije Universiteit Brussel,postoperative complications ,2017
3683,Vrije Universiteit Brussel,Orthognathic surgery,2017
3684,Vrije Universiteit Brussel,perioperative care,2017
3685,Vrije Universiteit Brussel,postoperative complications ,2017
3686,Universidade da Madeira,Adulteration,2019
3687,Universidade da Madeira,Authenticity,2019
3688,Universidade da Madeira,Biomarkers,2019
3689,Universidade da Madeira,Food fingerprints,2019
3690,Universidade da Madeira,Food safety ,2019
3691,Universidade da Madeira,Adulteration,2019
3692,Universidade da Madeira,Authenticity,2019
3693,Universidade da Madeira,Biomarkers,2019
3694,Universidade da Madeira,Food fingerprints,2019
3695,Universidade da Madeira,Food safety ,2019
3696,Universidade da Madeira,Adulteration,2019
3697,Universidade da Madeira,Authenticity,2019
3698,Universidade da Madeira,Biomarkers,2019
3699,Universidade da Madeira,Food fingerprints,2019
3700,Universidade da Madeira,Food safety ,2019
3701,Universidade da Madeira,Adulteration,2019
3702,Universidade da Madeira,Authenticity,2019
3703,Universidade da Madeira,Biomarkers,2019
3704,Universidade da Madeira,Food fingerprints,2019
3705,Universidade da Madeira,Food safety ,2019
3706,Universidade da Madeira,Adulteration,2019
3707,Universidade da Madeira,Authenticity,2019
3708,Universidade da Madeira,Biomarkers,2019
3709,Universidade da Madeira,Food fingerprints,2019
3710,Universidade da Madeira,Food safety ,2019
3711,Columbia University,atherosclerosis,2016
3712,Columbia University,calcium,2016
3713,Columbia University,diabetes mellitus,2016
3714,Columbia University,insulin resistance,2016
3715,Columbia University,metabolic syndrome ,2016
3716,Columbia University,atherosclerosis,2016
3717,Columbia University,calcium,2016
3718,Columbia University,diabetes mellitus,2016
3719,Columbia University,insulin resistance,2016
3720,Columbia University,metabolic syndrome ,2016
3721,Yonsei University College of Medicine,critical care,2018
3722,Yonsei University College of Medicine,donor selection,2018
3723,Yonsei University College of Medicine,extracorporeal life support,2018
3724,Yonsei University College of Medicine,lung transplantation,2018
3725,Yonsei University College of Medicine,mechanical ventilation,2018
3726,Yonsei University College of Medicine,preoperative care,2018
3727,Yonsei University College of Medicine,transplant recipients ,2018
3728,Yonsei University College of Medicine,critical care,2018
3729,Yonsei University College of Medicine,donor selection,2018
3730,Yonsei University College of Medicine,extracorporeal life support,2018
3731,Yonsei University College of Medicine,lung transplantation,2018
3732,Yonsei University College of Medicine,mechanical ventilation,2018
3733,Yonsei University College of Medicine,preoperative care,2018
3734,Yonsei University College of Medicine,transplant recipients ,2018
3735,Yonsei University College of Medicine,critical care,2018
3736,Yonsei University College of Medicine,donor selection,2018
3737,Yonsei University College of Medicine,extracorporeal life support,2018
3738,Yonsei University College of Medicine,lung transplantation,2018
3739,Yonsei University College of Medicine,mechanical ventilation,2018
3740,Yonsei University College of Medicine,preoperative care,2018
3741,Yonsei University College of Medicine,transplant recipients ,2018
3742,Yonsei University College of Medicine,critical care,2018
3743,Yonsei University College of Medicine,donor selection,2018
3744,Yonsei University College of Medicine,extracorporeal life support,2018
3745,Yonsei University College of Medicine,lung transplantation,2018
3746,Yonsei University College of Medicine,mechanical ventilation,2018
3747,Yonsei University College of Medicine,preoperative care,2018
3748,Yonsei University College of Medicine,transplant recipients ,2018
3749,Yonsei University College of Medicine,critical care,2018
3750,Yonsei University College of Medicine,donor selection,2018
3751,Yonsei University College of Medicine,extracorporeal life support,2018
3752,Yonsei University College of Medicine,lung transplantation,2018
3753,Yonsei University College of Medicine,mechanical ventilation,2018
3754,Yonsei University College of Medicine,preoperative care,2018
3755,Yonsei University College of Medicine,transplant recipients ,2018
3756,Yonsei University College of Medicine,critical care,2018
3757,Yonsei University College of Medicine,donor selection,2018
3758,Yonsei University College of Medicine,extracorporeal life support,2018
3759,Yonsei University College of Medicine,lung transplantation,2018
3760,Yonsei University College of Medicine,mechanical ventilation,2018
3761,Yonsei University College of Medicine,preoperative care,2018
3762,Yonsei University College of Medicine,transplant recipients ,2018
3763,Yonsei University College of Medicine,critical care,2018
3764,Yonsei University College of Medicine,donor selection,2018
3765,Yonsei University College of Medicine,extracorporeal life support,2018
3766,Yonsei University College of Medicine,lung transplantation,2018
3767,Yonsei University College of Medicine,mechanical ventilation,2018
3768,Yonsei University College of Medicine,preoperative care,2018
3769,Yonsei University College of Medicine,transplant recipients ,2018
3770,Centers for Disease Control and Prevention,Adverse events,2021
3771,Centers for Disease Control and Prevention,Background rates,2021
3772,Centers for Disease Control and Prevention,COVID 19,2021
3773,Centers for Disease Control and Prevention,Incidence rates,2021
3774,Centers for Disease Control and Prevention,Surveillance,2021
3775,Centers for Disease Control and Prevention,Vaccine safety ,2021
3776,Centers for Disease Control and Prevention,Adverse events,2021
3777,Centers for Disease Control and Prevention,Background rates,2021
3778,Centers for Disease Control and Prevention,COVID 19,2021
3779,Centers for Disease Control and Prevention,Incidence rates,2021
3780,Centers for Disease Control and Prevention,Surveillance,2021
3781,Centers for Disease Control and Prevention,Vaccine safety ,2021
3782,Centers for Disease Control and Prevention,Adverse events,2021
3783,Centers for Disease Control and Prevention,Background rates,2021
3784,Centers for Disease Control and Prevention,COVID 19,2021
3785,Centers for Disease Control and Prevention,Incidence rates,2021
3786,Centers for Disease Control and Prevention,Surveillance,2021
3787,Centers for Disease Control and Prevention,Vaccine safety ,2021
3788,Centers for Disease Control and Prevention,Adverse events,2021
3789,Centers for Disease Control and Prevention,Background rates,2021
3790,Centers for Disease Control and Prevention,COVID 19,2021
3791,Centers for Disease Control and Prevention,Incidence rates,2021
3792,Centers for Disease Control and Prevention,Surveillance,2021
3793,Centers for Disease Control and Prevention,Vaccine safety ,2021
3794,Centers for Disease Control and Prevention,Adverse events,2021
3795,Centers for Disease Control and Prevention,Background rates,2021
3796,Centers for Disease Control and Prevention,COVID 19,2021
3797,Centers for Disease Control and Prevention,Incidence rates,2021
3798,Centers for Disease Control and Prevention,Surveillance,2021
3799,Centers for Disease Control and Prevention,Vaccine safety ,2021
3800,Centers for Disease Control and Prevention,Adverse events,2021
3801,Centers for Disease Control and Prevention,Background rates,2021
3802,Centers for Disease Control and Prevention,COVID 19,2021
3803,Centers for Disease Control and Prevention,Incidence rates,2021
3804,Centers for Disease Control and Prevention,Surveillance,2021
3805,Centers for Disease Control and Prevention,Vaccine safety ,2021
3806,Centers for Disease Control and Prevention,Adverse events,2021
3807,Centers for Disease Control and Prevention,Background rates,2021
3808,Centers for Disease Control and Prevention,COVID 19,2021
3809,Centers for Disease Control and Prevention,Incidence rates,2021
3810,Centers for Disease Control and Prevention,Surveillance,2021
3811,Centers for Disease Control and Prevention,Vaccine safety ,2021
3812,Centers for Disease Control and Prevention,Adverse events,2021
3813,Centers for Disease Control and Prevention,Background rates,2021
3814,Centers for Disease Control and Prevention,COVID 19,2021
3815,Centers for Disease Control and Prevention,Incidence rates,2021
3816,Centers for Disease Control and Prevention,Surveillance,2021
3817,Centers for Disease Control and Prevention,Vaccine safety ,2021
3818,Emory University School of Medicine,Adverse events,2021
3819,Emory University School of Medicine,Background rates,2021
3820,Emory University School of Medicine,COVID 19,2021
3821,Emory University School of Medicine,Incidence rates,2021
3822,Emory University School of Medicine,Surveillance,2021
3823,Emory University School of Medicine,Vaccine safety ,2021
3824,Centers for Disease Control and Prevention,Adverse events,2021
3825,Centers for Disease Control and Prevention,Background rates,2021
3826,Centers for Disease Control and Prevention,COVID 19,2021
3827,Centers for Disease Control and Prevention,Incidence rates,2021
3828,Centers for Disease Control and Prevention,Surveillance,2021
3829,Centers for Disease Control and Prevention,Vaccine safety ,2021
3830,Centers for Disease Control and Prevention,Adverse events,2021
3831,Centers for Disease Control and Prevention,Background rates,2021
3832,Centers for Disease Control and Prevention,COVID 19,2021
3833,Centers for Disease Control and Prevention,Incidence rates,2021
3834,Centers for Disease Control and Prevention,Surveillance,2021
3835,Centers for Disease Control and Prevention,Vaccine safety ,2021
3836,Centers for Disease Control and Prevention,Adverse events,2021
3837,Centers for Disease Control and Prevention,Background rates,2021
3838,Centers for Disease Control and Prevention,COVID 19,2021
3839,Centers for Disease Control and Prevention,Incidence rates,2021
3840,Centers for Disease Control and Prevention,Surveillance,2021
3841,Centers for Disease Control and Prevention,Vaccine safety ,2021
3842,Centers for Disease Control and Prevention,Adverse events,2021
3843,Centers for Disease Control and Prevention,Background rates,2021
3844,Centers for Disease Control and Prevention,COVID 19,2021
3845,Centers for Disease Control and Prevention,Incidence rates,2021
3846,Centers for Disease Control and Prevention,Surveillance,2021
3847,Centers for Disease Control and Prevention,Vaccine safety ,2021
3848,University of Western Macedonia,CO2 methanation,2020
3849,University of Western Macedonia,Ni based catalysts,2020
3850,University of Western Macedonia,alloy nanoparticles,2020
3851,University of Western Macedonia,bimetallic catalysts,2020
3852,University of Western Macedonia,bimetallic synergy,2020
3853,University of Western Macedonia,promoters ,2020
3854,University of Western Macedonia,CO2 methanation,2020
3855,University of Western Macedonia,Ni based catalysts,2020
3856,University of Western Macedonia,alloy nanoparticles,2020
3857,University of Western Macedonia,bimetallic catalysts,2020
3858,University of Western Macedonia,bimetallic synergy,2020
3859,University of Western Macedonia,promoters ,2020
3860,Technical University of Crete,CO2 methanation,2020
3861,Technical University of Crete,Ni based catalysts,2020
3862,Technical University of Crete,alloy nanoparticles,2020
3863,Technical University of Crete,bimetallic catalysts,2020
3864,Technical University of Crete,bimetallic synergy,2020
3865,Technical University of Crete,promoters ,2020
3866,University of Western Macedonia,CO2 methanation,2020
3867,University of Western Macedonia,Ni based catalysts,2020
3868,University of Western Macedonia,alloy nanoparticles,2020
3869,University of Western Macedonia,bimetallic catalysts,2020
3870,University of Western Macedonia,bimetallic synergy,2020
3871,University of Western Macedonia,promoters ,2020
3872,Semmelweis University,adaptation,2018
3873,Semmelweis University,attractors,2018
3874,Semmelweis University,decision making,2018
3875,Semmelweis University,learning,2018
3876,Semmelweis University,memory retrieval,2018
3877,Semmelweis University,network core and periphery,2018
3878,Semmelweis University,protein dynamics ,2018
3879,Department of Paediatrics,children and adolescents,2021
3880,Department of Paediatrics,in patient diabetes,2021
3881,Department of Paediatrics,other complications ,2021
3882,Paediatric Department,children and adolescents,2021
3883,Paediatric Department,in patient diabetes,2021
3884,Paediatric Department,other complications ,2021
3885,University of Twente,Collective action,2018
3886,University of Twente,computer mediated communication,2018
3887,University of Twente,identity,2018
3888,University of Twente,multidisciplinary research,2018
3889,University of Twente,networks,2018
3890,University of Twente,systematic literature review ,2018
3891,University of Twente,Collective action,2018
3892,University of Twente,computer mediated communication,2018
3893,University of Twente,identity,2018
3894,University of Twente,multidisciplinary research,2018
3895,University of Twente,networks,2018
3896,University of Twente,systematic literature review ,2018
3897,University of Twente,Collective action,2018
3898,University of Twente,computer mediated communication,2018
3899,University of Twente,identity,2018
3900,University of Twente,multidisciplinary research,2018
3901,University of Twente,networks,2018
3902,University of Twente,systematic literature review ,2018
3903,University of Florida,Biosynthetic gene cluster,2021
3904,University of Florida,Cyanobacterial natural products,2021
3905,University of Florida,Heterologous expression ,2021
3906,University of Florida,Biosynthetic gene cluster,2021
3907,University of Florida,Cyanobacterial natural products,2021
3908,University of Florida,Heterologous expression ,2021
3909,University of Florida,Biosynthetic gene cluster,2021
3910,University of Florida,Cyanobacterial natural products,2021
3911,University of Florida,Heterologous expression ,2021
3912,University of Florida,Biosynthetic gene cluster,2021
3913,University of Florida,Cyanobacterial natural products,2021
3914,University of Florida,Heterologous expression ,2021
3915,the First Affiliated Hospital of Anhui Medical University,breast cancer,2019
3916,the First Affiliated Hospital of Anhui Medical University,gene polymorphism,2019
3917,the First Affiliated Hospital of Anhui Medical University,leptin,2019
3918,the First Affiliated Hospital of Anhui Medical University,meta analysis ,2019
3919,the First Affiliated Hospital of Anhui Medical University,breast cancer,2019
3920,the First Affiliated Hospital of Anhui Medical University,gene polymorphism,2019
3921,the First Affiliated Hospital of Anhui Medical University,leptin,2019
3922,the First Affiliated Hospital of Anhui Medical University,meta analysis ,2019
3923,the First Affiliated Hospital of Anhui Medical University,breast cancer,2019
3924,the First Affiliated Hospital of Anhui Medical University,gene polymorphism,2019
3925,the First Affiliated Hospital of Anhui Medical University,leptin,2019
3926,the First Affiliated Hospital of Anhui Medical University,meta analysis ,2019
3927,the First Affiliated Hospital of Anhui Medical University,breast cancer,2019
